Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,Brest,Angers,2,0,2-0,https://ca.soccerway.com/matches/2025/03/09/france/ligue-1/brest/angers/4372967/,19
,Le Havre,Saint-Étienne,1,1,1-1,https://ca.soccerway.com/matches/2025/03/09/france/ligue-1/le-havre/saint-tienne/4372962/,46
,Reims,Auxerre,0,2,0-2,https://ca.soccerway.com/matches/2025/03/09/france/ligue-1/reims/auxerre/4372963/,15
,Nantes,Strasbourg,0,1,0-1,https://ca.soccerway.com/matches/2025/03/09/france/ligue-1/nantes/strasbourg/4372964/,79
,Nice,Auxerre,1,1,1-1,https://ca.soccerway.com/matches/2025/03/14/france/ligue-1/nice/auxerre/4372972/,37
,Nantes,Lille,1,0,1-0,https://ca.soccerway.com/matches/2025/03/15/france/ligue-1/nantes/lille/4372978/,83
,Angers,Monaco,0,2,0-2,https://ca.soccerway.com/matches/2025/03/15/france/ligue-1/angers/monaco/4372979/,77
,Lens,Rennes,1,0,1-0,https://ca.soccerway.com/matches/2025/03/15/france/ligue-1/lens/rennes/4372976/,47
,Strasbourg,Toulouse,2,1,2-1,https://ca.soccerway.com/matches/2025/03/16/france/ligue-1/strasbourg/toulouse/4372977/,47
,Montpellier,Saint-Étienne,0,2,0-2,https://ca.soccerway.com/matches/2025/03/16/france/ligue-1/montpellier/saint-tienne/4372973/,11
,Brest,Reims,0,0,0-0,https://ca.soccerway.com/matches/2025/03/16/france/ligue-1/brest/reims/4372974/,
,Monaco,Nice,2,1,2-1,https://ca.soccerway.com/matches/2025/03/29/france/ligue-1/monaco/nice/4372988/,55
,Angers,Rennes,0,3,0-3,https://ca.soccerway.com/matches/2025/03/30/france/ligue-1/angers/rennes/4372980/,13
,Auxerre,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2025/03/30/france/ligue-1/auxerre/montpellier/4372981/,82
,Lille,Lens,1,0,1-0,https://ca.soccerway.com/matches/2025/03/30/france/ligue-1/lille/lens/4372987/,19
,Nice,Nantes,1,2,1-2,https://ca.soccerway.com/matches/2025/04/04/france/ligue-1/nice/nantes/4372990/,14
,PSG,Angers,1,0,1-0,https://ca.soccerway.com/matches/2025/04/05/france/ligue-1/psg/angers/4372995/,55
,Brest,Monaco,2,1,2-1,https://ca.soccerway.com/matches/2025/04/05/france/ligue-1/brest/monaco/4372991/,42
,Lyon,Lille,2,1,2-1,https://ca.soccerway.com/matches/2025/04/05/france/ligue-1/lyon/lille/4372993/,38
,Lens,Saint-Étienne,1,0,1-0,https://ca.soccerway.com/matches/2025/04/06/france/ligue-1/lens/saint-tienne/4372994/,75
,Reims,Strasbourg,0,1,0-1,https://ca.soccerway.com/matches/2025/04/06/france/ligue-1/reims/strasbourg/4372996/,4
,Rennes,Auxerre,0,1,0-1,https://ca.soccerway.com/matches/2025/04/06/france/ligue-1/rennes/auxerre/4372997/,89
,Montpellier,Le Havre,0,2,0-2,https://ca.soccerway.com/matches/2025/04/06/france/ligue-1/montpellier/le-havre/4372992/,3
,Lens,Reims,0,2,0-2,https://ca.soccerway.com/matches/2025/04/11/france/ligue-1/lens/reims/4373005/,33
